0,1
1,0
2,0
3,0
4,1
5,0
6,0
7,1
8,0
9,4
10,1
11,4
12,11
13,10
14,19
15,44
16,2
17,10
18,8
19,5
20,21
21,7
22,32
23,78
24,42
25,6
26,73
27,80
28,63
29,17
30,77
31,49
32,62
33,133
34,72
35,94
36,90
37,119
38,106
39,113
40,165
41,133
42,65
43,199
44,155
45,109
46,191
47,129
48,122
49,81
50,88
51,74
52,141
53,197
54,85
55,69
56,145
57,294
58,210
59,237
60,151
61,41
62,134
63,61
64,135
65,129
66,25
67,94
68,103
69,145
70,144
71,157
72,160
73,105




